Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,123.4,-78.1,180.0,top
C2,1uF,C_0603_1608Metric,153.9,-72.2,0.0,top
C3,22uF,C_1206_3216Metric,123.5,-74.7,90.0,top
C4,1uF,C_0603_1608Metric,132.1,-85.5,0.0,top
C5,1uF,C_0603_1608Metric,132.1,-64.5,0.0,top
C6,1uF,C_0603_1608Metric,136.375,-89.0,180.0,top
D1,D,D_SOD-123,119.4,-77.0,180.0,top
D2,D,D_SOD-123,130.1,-83.2,0.0,top
D3,D,D_SOD-123,130.15,-66.7,0.0,top
D4,D_Schottky,D_SMA,159.2,-73.6,90.0,top
D5,D,D_SOD-123,137.3,-91.5,0.0,top
J1,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,150.0,-68.25,180.0,top
Q1,MMBT5551L,SOT-23,119.6,-83.8,0.0,top
Q2,MMBT5551L,SOT-23,142.9,-73.8,90.0,top
Q3,MMBT5551L,SOT-23,144.1,-79.2,90.0,top
R1,10k,R_0603_1608Metric,118.2,-79.3,0.0,top
R10,10k,R_0603_1608Metric,122.8,-82.7,-90.0,top
R11,5.1k,R_0603_1608Metric,125.6,-82.8,180.0,top
R16,0.1,R_1206_3216Metric,147.1,-77.0,90.0,top
R18,5.1k,R_0603_1608Metric,145.6,-86.1,90.0,top
R19,1k,R_0603_1608Metric,145.6,-83.1,90.0,top
R2,10k,R_0603_1608Metric,120.8,-80.0,-90.0,top
R20,10k,R_0603_1608Metric,140.6,-78.1,0.0,top
R21,10k,R_0603_1608Metric,140.3,-71.8,0.0,top
R22,10k,R_0603_1608Metric,139.0,-88.4,-90.0,top
R25,5.1k,R_0603_1608Metric,134.6,-83.6,90.0,top
R26,5.1k,R_0603_1608Metric,136.35,-83.6,90.0,top
R3,1k,R_0603_1608Metric,104.8,-89.3,90.0,top
R4,24k,R_0603_1608Metric,121.3,-73.6,90.0,top
R5,1k,R_0603_1608Metric,122.6,-71.0,0.0,top
R6,5.1k,R_0603_1608Metric,157.8,-67.3,90.0,top
R7,5.1k,R_0603_1608Metric,142.2,-67.3,90.0,top
R8,10k,R_0603_1608Metric,115.7,-82.9,0.0,top
R9,10k,R_0603_1608Metric,123.4,-79.9,180.0,top
U1,MT3608,SOT-23-6,117.6,-73.7,180.0,top
U3,HIP4080A,SOIC-20W_7.5x12.8mm_P1.27mm,131.1,-74.9,0.0,top
U5,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,141.1,-84.1,180.0,top
